Название;Описание;Цена;Цена до скидки;Фото 1;Фото 2;Фото 3;Категория;Sub category
"RUMALAYA GEL, Himalaya (РУМАЛАЯ (румалайя) ГЕЛЬ, Обезболивающая мазь, Хималая), 30 г.
";"Гель Румалая от Хималаи обладает выраженным противовоспалительным и обезболивающим эффектами, особенно активен в отношении опорно-двигательного аппарата, применяется при травмах в спорте. Устраняет раздражение и является хорошим разогревающим средством. Обладает способностью очень быстро впитываться в ткани. Эффективно восстанавливает подвижность суставов при ее нарушении.

Применение геля Румалая от «Хималаи» показано при различных видах травм опорно-двигательного аппарата: растяжениях, ушибах, гематомах, вывихах, повреждениях связок и сухожилий. Помогает при воспалительных заболеваниях: тендонитах, капсулитах, бурситах. Другими показаниями являются: ревматические заболевания, остеоартроз, невриты и радикулиты.";216;240;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/HIMALAYA/IMG_0036%20(2).jpg;;;Здоровье;Уход за телом
"STRESSCOM capsules Dabur (СТРЕССКОМ Мощный антистрессовый аюрведический препарат, Дабур), блистер 120 капс.
";"Антистрессовый препарат Стреском - натуральное аюрведическое средство от стресса на основе экстракта Ашвагандхи. Это по-настоящему мощное средство, которое помогает даже от сильных стрессов, а также решает ряд других проблем. Гармонизирует нервную систему, улучшает физическое и ментальное самочувствие, омолаживает организм, укрепляет сердечно-сосудистую, эндокринную системы, улучшает иммунитет.

Не стоит терпеть воздействие стресса на свой организм. Ведь беспокойства истощают его, и приводят к умственной и физической слабости. Стресском от Дабур успокоит Вашу нервную систему и повысит иммунитет, а также уменьшит интенсивность или вовсе устранит существующие воспалительные процессы в организме. Если Вам срочно нужно адаптироваться к новой обстановке, или Вы вынуждены находиться в условиях повышенных психоэмоциональных нагрузок, то этот препарат обязательно поможет.

Стресском назначается при многих заболеваниях, таких как гормональный дисбаланс, повышенная ломкость костей, язва, патологии печени, аденома и аденокарцинома предстательной железы, болезни сосудов и дыхательной системы, болезнь Альцгеймера, остеопороз, чрезмерная нервозность, гипертония, эпилепсия, бесплодие, аутоиммунные заболевания, нарушения сперматогенеза, болезненные и нерегулярные месячные и другие.

Средство окажется полезным для людей пожилого возраста, ведь он отлично тонизирует организм, улучшает общее самочувствие, дарит радость и позволяет сохранять умственную активность. Но, впрочем, молодым людям Стресском может придать также много сил и ускорить мыслительные процессы. Он окажется для Вас очень полезен, если Вы много времени проводите за компьютером или активно учитесь, а также принимаете химические препараты.

НАЗНАЧЕНИЕ

Стресс, переутомление, невроз, анорексия, бронхит, истощение, лейкодермия, отеки, слабость, бессонница, бесплодие, импотенция, паралич, потеря памяти, рассеянный склероз, рак, ревматизм, артрит, радикулит.";1799;2299;https://static.tildacdn.com/tild3831-3165-4630-a237-656333306639/photo.jpg;;;Здоровье;Бад
"Ашвагандха Хималая (Ashwagandha Himalaya) 60 табл
";"Ашвагандха – аюрведический действенный растительный монопрепарат с общим омолаживающим, тонизирующим, укрепляющим действием. Ашвагандха повышает возможности организма переносить большие физические и эмоциональные нагрузки, это отличный помощник при стрессе, хронической усталости, бессоннице. Она также полезна при ухудшении памяти и концентрации, обладает нейрозащитными свойствами, необходимыми при старении мозга. Препятствует развитию болезни Паркинсона.

Ашвагандха – известный афродизиак, усиливающий либидо, используется при лечении мужского бесплодия, сперматореи, сексуальных расстройств мужчин, а также женщин: растение содержит вещества, помогающие нормализовать метаболизм эстрогенов, а это препятствует развитию фибромиом, мастопатии. Вместе с приемом Шатавари Ашвагандха нормализует менструальный цикл, предупреждает выкидыши и послеродовую депрессию.

Прекрасно поддерживает организм в состояниях после длительных хронических заболеваний, операций, при проведении химиотерапии, слабости и истощении, укрепляет костно-мышечную систему (свойство, полезное также для спортсменов), улучшает работу сердца и сосудов.

Поддерживает нормальный воспалительный ответ организма, регулирует каскады цитокинов.

Препарат снижает артериальное давление, поэтому при приеме других лекарств от артериального давления необходимы меры предосторожности. То же – при параллельном приеме лекарств от диабета (снижает уровень сахара в крови), аутоиммунных заболеваний, заболеваний щитовидной железы (может увеличить количество гормонов).

Ашвагандха используется при лечении кожных и респираторных заболеваний, при ожирении (снижает аппетит и тягу к сладкому), алкоголизма, эффективно помогает при радикулите, ревматизме, артрите.";465;;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/HIMALAYA/1.png;https://gangga.ru/wa-data/public/shop/products/80/57/5780/images/9165/9165.0x460@2x.jpg;;Здоровье;Бад
"Шатавари Гималая (Shatavari Himalaya), 60 таблеток
";"Himalaya Shatavari – это натуральный растительный экстракт. Шатавари считается наиболее полезной травой для женщин, так как она помогает сбалансировать женскую гормональную систему. Являясь основным омолаживающим средством растительного происхождения для женщин, Shatavari питает и очищает кровь и женские репродуктивные органы, тем самым поддерживая естественную фертильность организма.

Шатавари питает матку и яйцеклетку, поддерживает женские органы во время беременности. Также способствует естественному кормлению грудью.

Shatavari содержит фитоэстрогены, предшественники эстрогена, и очень полезна для женщин, страдающих от низкого уровня природного эстрогена в результате климакса, гистерэктомии или овариэктомии.

На санскрите Shatavari означает “та, у кого есть сто мужей”, что подразумевает ее способность поддерживать фертильность и жизнеспособность. Ее основными компонентами являются сапонины, алкалоиды, белки и дубильные вещества. Растение содержит тритерпеновые сапонины под названием Шатаварин I-IV, которые поддерживают естественную выработку организмом эстрогена.

Полезные свойства
Поддерживает репродуктивное здоровье, тонизируя и питая женские репродуктивные органы
Сохраняет здоровый гормональный баланс
Лечит симптомы ПМС, облегчая боль и контролируя кровопотерю во время менструации
Поддерживает производство грудного молока для кормящих матерей в норме
Снимает менопаузальные симптомы, такие как приливы жара. Вырабатывая эстрогены, он компенсирует низкий уровень эстрогенов у женщин с менопаузой, гистерэктомией или овариэктомией.
Используется в Индии как наиболее известное и часто используемое растение для женщин.
Поддерживает нормальную работу иммунной и пищеварительной систем.
Поддерживает здоровое либидо
Применение:

По 1 капсуле дважды в день во время еды. Необходимо принимать несколько недель для получения долговременного эффекта.";415;800;https://avatars.mds.yandex.net/get-mpic/7150546/img_id1218333274010355567.jpeg/orig;;;Здоровье;Бад
"NEEM Himalaya (НИМ, очищение организма и кожи, Хималая), 60 таб.";"Ним - универсальное природное средство, обладающее массой полезных свойств. Улучшает функции печени, повышает иммунитет, очищает кровь и в целом улучшает её качество, устраняет токсические продукты обмена из организма, губительно для гельминтов, облегчает симптомы при большинстве кожных недугов и пр.

На Востоке ним считается истинным даром Богов и переводится с санскрита как «лекарство от всех болезней». Благодаря большому количеству целебных свойств, ним является наиболее частым компонентов средств, используемых для лечения множества самых разных заболеваний. Его целебные свойства объясняются содержанием в биохимическом составе природных антибиотиков, веществ, способствующих регенерации тканей, а также меди, изовалериановой кислоты, алкалоидов и других активных микроэлементов и витаминов.

Во-первых, ним наиболее известен как эффективное средство для очищения и улучшения качеств крови. Он обладает способностью выводить чужеродные организму белки, кетоны и свободные радикалы, предотвращать накопление жиров и токсичных соединений в организме, снижать уровень холестерина и глюкозы, повышать показатель гемоглобина. Ним используется как средство против кровотечений, предотвращает образование тромбов. Применяется при нарушении обмена жиров и углеводов. Положительно влияет на уменьшение доброкачественных и злокачественных опухолей.

Во-вторых, это, пожалуй, одно из эффективнейших природных средств для лечения гнойничковых воспалений, угрей, повышенной жирности кожи. Препарат очень эффективен в борьбе с инфекциями кожных покровов, а также при таких хронических кожных проблемах как псориаз, экзема, дерматиты, в том числе и аллергической природы, фурункулёз, гнойные нарывы.

В-третьих, данный препарат имеет ярко выраженные свойства иммуномодулятора, а также антибактериальные, антисептические, противовоспалительные, мочегонные, противоопухолевые, антидиабетические, глистогонные, противогрибковые, контрацептивные и успокоительные свойства.

Препарат незаменим в устранении симптомов лихорадки, при сильном жаре, кишечных нарушениях, язвенных колитах и гастритах, расстройствах желудка, проблемах нерегулярного стула, респираторных и бронхолёгочных заболеваниях, расстройствах мочеполовой системы и желчного пузыря, повышенного артериального давления.

Помогает справляться с такими проблемами как повышенный вес, воспалительные процессы в суставах (ревматизм, артрит) и болезнями, вызванными переохлаждением. Как природный антибиотик, угнетает размножение ряда простейших микробных организмов, устраняет паразитарные инфекции, глистную инвазию, дизентерию.

Исследования западных учёных лишь спустя века подтвердили то, что было известно в странах Востока с древних времен – ним – это непревзойдённое по своим свойствам природное лечебное средство, которым может воспользоваться любой желающий.";324;360;https://india-bazar.ru/images/stories/virtuemart/product/nim-ochishchenie-organizma-i-kozhi-.jpg;;;Здоровье;Бад
"BRAHMI Himalaya (БРАМИ (БРАХМИ), тоник для мозга, улучшение памяти, Хималая), 60 таб.";"Брахми - это эффективный природный тоник, стимулирующий активность мозга и не оказывающий при этом каких-либо побочных эффектов. Повышает концентрацию внимания и общую способность к обучению. Действует как успокаивающее, способствует нормализации правильного мозгового кровообращения. В целом повышает защитные силы организма.

Брахми (Бакопа мониери) - популярное в Индии растение и одно из самых важных в Аюрведе омолаживающих, тонизирующих и укрепляющих нервные клетки средств для мозга. Используется при неврозах, бессоннице, гиперактивности у детей, эмоциональном возбуждении и больших умственных нагрузках, хронических головных болях.

Уменьшает спазмы сосудов мозга, останавливает выпадение волос и появление ранней седины, улучшает память, замедляет дегенеративные процессы в нервной системе. Действуя как антиоксидант, он увеличивает продолжительность жизни. Считается, что растение придаёт сил в пожилом возрасте и помогает ещё долго поддерживать хорошее самочувствие даже в преклонных летах.

Укрепляет надпочечники, которые участвует в синтезе гормона стресса, а также глюкокортикоидов, приводящих к приподнятому настроению и ослабляющих воспалительные процессы в организме. Кроме того, Брахми относится к мощным натуральным средствам, очищающим кровь. Благодаря чему оно естественным образом также улучшают и внешнее состояние кожи при хронических заболеваниях, среди которых экзема, угревая сыпь, псориаз, дерматиты. Препарат способствует ускорению обменных процессов в тканях, оказывает охлаждающее, противолихорадочное и мочегонное действие. Используется в Аюрведе в терапии бронхолёгочных заболеваний. Благотворно влияет при сердечно-сосудистых расстройствах, зависящих от эмоционального состояния пациента.

В Индии Брахми относят к растениям с самой духовной, саттвичной природой. Оно устанавливает баланс между левым и правым полушариями мозга, соединяя таким образом в человеке его логичное и интуитивное начала. Поэтому принимать Брахми рекомендуется всем для обретения состояния осознанности, но особенно тем, кто активно занимается духовными практиками. это известное растение, которое восстанавливает баланс трех дош, используется как самостоятельное средство, так и в составе многих других эффективных средств. В основном его используют для нормализации состояния нервной системы и улучшения умственной деятельности, однако это растение также способствует омоложению и оздоровлению организма, улучшению его функцию, поднятию иммунитета.";324;360;https://india-bazar.ru/images/stories/virtuemart/product/brakhmi-tonik-dlya-mozga.jpg;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/HIMALAYA/7.png;;Здоровье;Бад
"RHEUMATIL GEL Dabur (РЕВМАТИЛ ГЕЛЬ, снимает отеки и суставные боли, Дабур), 30 г.
";"Ревматил гель - эффективная аюрведическая мазь с целебным составом, включающим в себя уникальное масло Маханараяна. Избавляет от суставной боли, снимает отеки суставов и мышц. Может также применяться как мазь ""Звёздочка"" при простудах и ОРЗ.

Является высокоэффективным болеутоляющим средством, которое быстро восстанавливает пораженную соединительную ткань. Содержит масло Маханараяна и многие другие растительные компоненты, которые обеспечивают болеутоляющий и согревающий эффект на мышцы.

Природные витамины А, Е, D3, а также минералы, входящие в состав геля Ревматил, обеспечивают действие препарата на уровне клеточных мембран, нормализуют окислительно-восстановительные процессы пораженных воспалением тканях и обмен кальция, что приводит к уменьшению отложения солей кальция в виде пресловутых остеофитов.

Содержащийся в составе геля экстракт Гуггула, относится к самым мощным природным противоревматическим и обезболивающим средствам, а также способствует лучшему проникновению активных компонентов лекарственного состава в пораженные ткани суставов и мышц, быстро и надолго снимая при этом болевые ощущения, отеки и воспалительные реакции.

В отличие от многих подобных медицинских препаратов, не оказывает побочных реакций, которые характерны при длительном употреблении синтетических мазей или средств, содержащих продукты пчеловодства. Регулярное применение Ревматил геля постепенно вернет Вас к привычному образу жизни без боли и возвратит способность к плодотворной деятельности.

Рекомендуется применять одновременно с препаратом Йогорадж Гуггул.";180;200;https://india-bazar.ru/images/stories/virtuemart/product/rheumatil-gel-dabur-revmatil-gel-snimaet-oteki-i-sustavnye-boli-dabur-30-g.jpg;;;Здоровье;Уход за телом
"PILEX FORTE Ointment, Himalaya (ПАЙЛЕКС ФОРТЕ мазь при геморрое, варикозе, Хималая), 30 г.
";"Пайлекс форте (Пилекс форте) - мазь для лечения варикозного расширения вен и геморроя (усиленная формула). Оказывает выраженный регенерирующий и противовоспалительный эффект.

Крем способствует уменьшению варикозных узлов, препятствует их образованию, снимает воспаление, облегчает боль. Постепенно нейтрализует болезненные ощущения, судороги и снимает дискомфорт при акте дефекации, останавливает кровотечение.

Активные ингредиенты растительно-минерального происхождения содержат в себе большую концентрацию фенолов и флавоноидов, которые работают в качестве мощных антиcептиков. Благодаря их влиянию кожа выравнивается и заживает гораздо быстрее, повышается тонус стенок венозных сосудов, снижается выраженность отеков, обусловленных венозной недостаточностью.

Продукт проверен дерматологами на безопасность, не проходил тестирование на животных.";198;220;https://india-bazar.ru/images/stories/virtuemart/product/pilex-forte-ointment-himalaya-pajleks-forte-maz-pri-gemorroe-varikoze-khimalaya-30-g.jpg;;;Здоровье;Уход за телом
"Kailas Jeevan Крем индийский заживляющий, 20 гр
";"При поражениях кожных покровов различной этиологии наносить Kailas Jeevan нужно на поврежденный участок тонким слоем. Это поможет устранить болевые ощущения и поспособствует скорейшему заживлению. При отитах необходимо поместить в больную ушную раковину тампон, смазанный кремом. Кашель лечат компрессами, уложенными на грудную клетку и спину. При боли в горле, диарее, зубной боли и воспалительных процессах мазь наносится на каждый воспаленный и беспокоящий участок. Покраснение и усталость органов зрения лечится нанесением крема тонким слоем на веки и под глаза. Нарушения сна устраняются при нанесении на темечко, зону висков, лоб и шею мази Kailas Jeevan. Инструкция по применению гласит, что таким образом также можно избавиться от усталости, перевозбуждения головного мозга вследствие продолжительной умственной нагрузки. Кроме этого, препарат показано применять при чрезмерной физической деятельности. Официальный поставщик, инструкция на русском языке!
";273;500;https://avatars.mds.yandex.net/get-mpic/7400882/img_id1347411588017384081.jpeg/orig;https://avatars.mds.yandex.net/get-mpic/5238263/img_id7858922815804903635.jpeg/orig;;Здоровье;Бад
"Kailas Jeevan Кайлас Дживан многофункциональный аюрведический крем (Kailas Jeevan), 30г
";"При поражениях кожных покровов различной этиологии наносить Kailas Jeevan нужно на поврежденный участок тонким слоем. Это поможет устранить болевые ощущения и поспособствует скорейшему заживлению. При отитах необходимо поместить в больную ушную раковину тампон, смазанный кремом. Кашель лечат компрессами, уложенными на грудную клетку и спину. При боли в горле, диарее, зубной боли и воспалительных процессах мазь наносится на каждый воспаленный и беспокоящий участок. Покраснение и усталость органов зрения лечится нанесением крема тонким слоем на веки и под глаза. Нарушения сна устраняются при нанесении на темечко, зону висков, лоб и шею мази Kailas Jeevan. Инструкция по применению гласит, что таким образом также можно избавиться от усталости, перевозбуждения головного мозга вследствие продолжительной умственной нагрузки. Кроме этого, препарат показано применять при чрезмерной физической деятельности. Официальный поставщик, инструкция на русском языке!
";354;794;https://cdn1.ozone.ru/s3/multimedia-t/wc1000/6043102505.jpg;;;Здоровье;Уход за телом
