Название;Описание;Цена;Цена до скидки;Фото 1;Фото 2;Фото 3;Категория;Бранд;;
"YOGRAJ GUGGULU Baidyanath (ЙОГАРАДЖ ГУГГУЛ, очищение и восстановление организма, Байдьянатх), 120 таб.
";"Йогарадж гуггул – королевская лекарственная формула для оздоровления суставов. Традиционно данный препарат применяется в Индии при расстройствах нервной системы и проблемах опорно-двигательного аппарата, связанных с дисбалансом Вата-доши. Состав средства довольно сложен и включает в себя около 30 ингредиентов растительно-минерального происхождения, которые воздействуют как антиоксиданты на опорно-двигательную систему. Такой препарат окажется полезным как для поддержания здоровья суставов, тканей мышц и нервной системы, так и в качестве общеукрепляющего средства.

Оно оказывает мощное воздействие на организм человека по двум направлениям. С одной стороны, действует как Расаяна – омолаживает ткани, повышает иммунитет, очищает от шлаков и токсинов. С другой стороны, действует как лекарственный препарат и применяется против широкого спектра заболеваний, в который кроме заболеваний суставов входят неврит, воспаления периферических нервов, ишиас, неврастения, заболевания нервной системы (эпилепсия), предменструальный синдром, диабет, ожирение, атеросклероз, хронический гастрит, хронический гепатит, холецистит, панкреатит, колит, энтерит, хроническая язва желудка и 12 перстной кишки, геморрой, воспалительные заболевания кожи (экзема), дерматиты и др.

Одним из основных компонентов Йогараджа является смола дерева Гуггул, которое произрастает в Индии и обладает множеством полезных свойств. Это одно из самых сильных средств для снижения уровня холестерина в крови. При этом он абсолютно нетоксичен.

Гуггул стимулирует центры саморегуляции в организме, выводит шлаки на клеточном уровне, улучшает микроциркуляцию крови в суставных тканях и позвоночнике, активизирует регенерацию хрящей. Выводит из организма нерастворимые соли, после применения препарата довольно быстро проходит суставная боль и уходят отёки.

Йогарадж Гуггул хорошо совмещать с аюрведическим препаратом «Трикату».

НАЗНАЧЕНИЕ

Артриты, полиартриты, артрозы, подагра, радикулит, ревматизм, боли в мышцах и суставах, тяжесть и боли в ногах, плохо заживающие язвы, общее недомогание, остеоартропатия, хронические заболевания почек и печени, болезнь Паркинсона, заболевания опорно-двигательного аппарата, дегенерация костей, дистрофия, спортивные травмы, заболевания желудочно-кишечного тракта, несварение, газы, вздутие живота; затрудненное мочеиспускание, излишнее скопление жидкости, кожные заболевания, экзема, дерматиты, угревая сыпь, паралич, бронхиальная невралгия, атрофия мышц и суставов, дисбаланс вата доши.";306;340;https://downloader.disk.yandex.ru/preview/4a47c51ab117663cc34f2d362fe4385c5793db4df564ef518178058921264fba/638694d6/r7WBvJXPzaI1tSqWUfKro4HLMUzmC2rUWU36FFS801KruY4lEolO3Ij6_R_vYOQ4qQzwmgqEVd9DsbUDSWFuZw%3D%3D?uid=0&filename=IMG_0015.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;bastofindia;;
"Baidyanath KANCHNAR Guggul (Канчнар Гуггул, Бадьянатх), 80 таб.
";"Канчнар Гуггул - препарат, который эффективно очищает кровеносную систему, лимфу, нормализует уровень холестерина и лейкоцитов в крови, восстанавливает работу внутренних органов. Способствует гармонизации работы эндокринной системы. Часто применяется для снижения веса.

Помимо прочего, средство помогает при варикозном расширении вен и тромбофлебите, справиться с которыми обычными средствами крайне сложно. Оно также полезно при инфекционных заболеваниях, ангине, гриппе, пневмонии, так как оказывает охлаждающее воздействие и устраняет бактериологический очаг при лихорадочных состояниях.

Помогает при сложных кожных заболеваниях, таких как фурункулёз, псориаз экзема и др.,нормализует обмен веществ. Применяется в комплексеом лечении при грыжах, доброкачественных опухолях, кистозе яичников.

Канчнар Гуггул используют в комбинации с другими препаратами в терапии проблема с щитовидной железой, эндокринных расстройствах, увеличенной щитовидной железы, так как приводит в норму выработку гормона и уменьшает зоб.

Приём одновременно с Дашамулой значительно повышает эффект воздействия Канчнар Гуггул.

НАЗНАЧЕНИЕ

Кистозные образования на яичниках, фиброзно-кистозная мастопатия, туберкулезный лимфаденит, варикозное расширение вен, ангина, тромбофлебит, профилактика онкологии, фурункулы и другие воспалительные заболевания кожи, различные виды грыж, повышенный вес, ангина, бронхит, дисфункция щитовидной железы.";270;300;https://downloader.disk.yandex.ru/preview/1b69daf06f55a7c9ab6436cb82b5c2e0e339ced0f90db285acc2286fea664d36/638694d6/v1PH7EIurnlHc9O4cRWIJ7UTmzA14rGbZDGf3aXgXmOGJ5e27aVKUOmEG5vwhDoo6L1xOBKPGvONBLqpe0cgkg%3D%3D?uid=0&filename=IMG_0014.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;dabur;;
"ICCHABHEDI RAS, Baidyanath (ИЧХАБЕДИ РАС, Байдьянатх), 10 г. (таблетки по 125 мг.)
";"Ичхабхеди Рас - сверхэффективное средство быстрой помощи при скоплении жидкости в брюшной полости (асцит). Стимулирует перистальтику органов пищеварения. Под его воздействием происходит не только элементарный слабительный эффект, но и мощная чистка организма в целом, всех отделов кишечника, желудка, печени и селезёнки.

Благодаря содержанию специального комплекса аюрведических трав с добавлением переработанной ртути, эффективность препарата повышается во много раз. Он воздействует быстрее даже тех средств, которые содержат топленое коровье масло, доставляющее полезные вещества к тканям органа. При приеме в рекомендованной врачом дозировке препараты с ртутью в составе абсолютно безопасны, а излечить недуг способны значительно быстрее, нежели просто травы без такого ингредиента.

Ещё одно достоинства средства состоит в том, что оно помогает очистить организм и подготовить его к приему тонизирующих и направленных на определённую проблемную область лечащих средств. Он используется при чрезмерном количестве жидкости в организме, устраняет избыток аму, выводит токсины и кислые выделения, работая по направлению сверху вниз. Так как ма и Питта доша тесно связаны с кровеносной и лимфатической системой, то препарат очищает и её в том числе.

Особенно Ичхабхеди Рас полезен при болезнях нижней части тела, а именно желчной системы, глистах, отравлениях, несварении и др. Параллельно он воздействует на причину заболевания, в результате чего эффект лечения окажется более длительным, чем при приеме аллопатических лекарств.

Запор и метеоризм, несмотря на кажущуюся пустяковость, являются признаком глубоких проблем, их вызывающих. А асцит еще более опасен. Поэтому чем быстрее предотвратить эту опасность, тем лучше для здоровья.

НАЗНАЧЕНИЕ

Асцит, запор, метеоризм, глубокая детоксикация организма, газообразование, кишечные колики, избыток амы в органах ЖКТ, глистная инвазия, болезни желчевыводящей системы.";331;368;https://downloader.disk.yandex.ru/preview/cab1a847f8075d348445a028e02ebda5bc5593deb293db2047f7cde897825cf2/638694d6/Cyg4OmpcTqAcTW9xgJBpmWnBcCQ0CGaNsn5S5dKzSGyzx-Ng5En8N6_nSbyZglCVkyhX4lFVMdDroPxu0aQ3tA%3D%3D?uid=0&filename=IMG_0018.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;himalaya;;
"PROSTAID Baidyanath (ПРОСТАИД (ПРОСТЕИД) для потенции, Байдьянатх), 50 таб.
";"Prostaid Tablet Baidyanath - аюрведическая диетическая добавка, травяная, натуральная без побочных эффектов. Комплексная поддержка здоровья простаты. Лечение ДКГП (доброкачественная гиперплазия предстательной железы) и простатита.

Это эффективный натуральный препарат для мужского здоровья без побочных эффектов. Основное применение препарата – лечение гиперплазии предстательной железы и симптомов, связанных с этим заболеванием (затрудненное, частое и внезапное мочеиспускание, неполное опорожнение мочевого пузыря, кровь в моче, половая слабость).

Простаид/Простайд (Prostaid) - это сочетание нескольких Аюрведиических лекарственных растений и минералов усиливающие половое влечение и имеющие  противовоспалительное и бактериостатичное действие на мочеполовую систему, препарат также улучшает обмен веществ.  

Эта комбинация является производным от Аюрведических текстов древней Индии.  

ПОКАЗАНИЯ

Половая слабость
Импотенция
Аденома предстательной железы
Мужское бесплодие
Простатит (увеличение простаты)
Доброкачественная гиперплазия предстательной железы
Увеличение простаты
Жжение во время мочеиспускания
Задержка мочи
Мочевые камни";378;420;https://downloader.disk.yandex.ru/preview/9311671330f8cc6eb1f8624368f564f009eefea40ea3d79d7a64983ff6e3b950/638694d6/bgUm4-6mI-FAOA4_J0sly2JjLatqCmL3SIbwDE8OWyiyOhvF7dZmVmIVaAi0BDuOE_5f5GSQ9EwCFZ7dAr6jXw%3D%3D?uid=0&filename=IMG_0023.jpg&disposition=inline&hash=&limit=0&content_type=image%2Fjpeg&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;maharishi;;
"MAHARASNADI KWATHAM, Kottakkal Ayurveda (МАХАРАСНАДИ КВАТХАМ, при дисбалансе Вата доши, Коттаккал Аюрведа), 100 таб.
";"Махараснади Кватхам - эффективное натуральное средство при заболеваниях, связанных с дисбалансом Вата доши. Восстанавливает суставы, возвращая им гибкость и подвижность. Лечит репродуктивную систему, помогает здоровому зачатию и вынашиванию ребенка. Оказывает противовоспалительный эффект. Благотворно влияет на состояние сердечно-сосудистой системы.

Препарат эффективно восстанавливает здоровье суставов, возвращая им гибкость и подвижность, снимает боль в коленях или в бедре. Он используется в терапии таких недугов, как ревматизм, остеоартрит, ревматоидный артрит, а также в лечении заболеваний неврологического характера - параличе, лицевом параличе, гемиплегии, параплегии, ишиасе, спондилезе.

Средство помогает при кишечных расстройствах, метеоризме и характерных звуках в кишечнике (урчание), а также при отёках, бронхолёгочных заболеваниях, астме, хроническом кашле. Он применяется для восстановления как мужского, так и женского здоровья: улучшает сперматогенеза, лечит урологические заболевания, бесплодие, болезни женской репродуктивной системы. Помогает зачатию и нормально протекающей беременности. Используется в акушерской практике.

Помогает при болезни Паркинсона.

Для усиления лечебного эффекта рекомендуется прием Махараснади Кватхам с Йогарадж Гуггулом.

НАЗНАЧЕНИЕ

Воспалительные процессы в организме, Вата-дисбаланс, болезнь Паркинсона, паралич, боль в шее, коленях, бедрах, отеки, мужское и женское бесплодие, артрит.";1206;1340;https://india-bazar.ru/images/stories/virtuemart/product/maharasnadi-kwatham-kottakkal-ayurveda-makharasnadi-kvatkham-kottakkal-ayurveda-100-tab74.jpg;;;Здоровье;bastofindia;;
"AMLANT tablets, Maharishi Ayurveda (АМЛАНТ, Лечение ЖКТ, Махариши Аюрведа), 60 таб.
";"Амлант - прекрасный препарат для лечения заболеваний желудочно-кишечного тракта (ЖКТ) и блуждающего нерва. Блуждающий нерв – это нерв, который идет от черепа примерно до середины ЖКТ. Его поражения могут привести к целому ряду неприятных симптомов и заболеваний, одним из которых является неврастения. Амлант убирает повышенную возбудимость этого нерва, благодаря чему уходят беспокойства и стресс.

Что касается положительного воздействия на ЖКТ, то он снижает повышенную кислотность желудка, обеспечивая тот же результат, что и западные лекарства. Однако отличие от них препарата Амланта состоит в том, что он является полностью натуральным средством. Также многим известно, что лечение противовоспалительными средствами, причем как стероидными, так и нестероидными, приводит к поражению слизистой ЖКТ. Амлант, применяемый с такими средствами, эффективно защищает слизистую желудка от эрозии.

Он устраняет изжогу, жжение в желудке, жар в верхней части тела. Лечит гастрит и язвы, используется при очищении Питты от токсинов. Если вам противопоказано острое, кислое и соленое, но Вы съели что-то из этого, Вам поможет Амлант. Примите его сразу после еды, и он снизит риск повышения кислотности. Успокаивает вату, нейтрализует питту.

Через некоторое время после начала приема Амланта происходит заживление существующих язв, и пациент чувствует значительное улучшение своего состояния.

НАЗНАЧЕНИЕ

Заболевания желудочно-кишечного тракта (ЖКТ) и блуждающего нерва, повышенная кислотность желудка, изжога, жжение в желудке, жар в верхней части тела, гастрит и язва, токсины в организме.";540;600;https://downloader.disk.yandex.ru/preview/e5d692bd7b80b1a11571e2f313bdb2b896523957cc6f666bc9f9f8fa2d41bade/63869772/IcEWjdsdgJJ2wU6-A3Iiwo3rjQ-zXoZOZvRTq_aOwqpFhqC0M0XEQSD9fodZcBAKKjc8s8hjdK4VsHjCN1BSjg%3D%3D?uid=0&filename=4.png&disposition=inline&hash=&limit=0&content_type=image%2Fpng&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;dabur;;
"RAKTDA tablets Maharishi Ayurveda (Рактда, натуральный стимулятор кроветворения, Махариши Аюрведа), 100 таб.
";"Рактда — высокоэффективный натуральный стимулятор кроветворения.

Безопасен и не имеет побочных эффектов. Содержит не только легко усваивающееся железо, но и другие микроэлементы.

Обладает тонизирующим действием на весь организм. Улучшает кроветворение, за счет стимуляции кроветворных органов и систем.

НАЗНАЧЕНИЕ

Для улучшения кроветворения у беременных женщин, недоношенных младенцев, близнецов, новорожденных детей, чья мать страдала анемией во время беременности, кормящих матерей, при кровопотерях, сложных операциях, после инфекционных заболеваний, при хронической кровопотере, а также общей слабости, малокровии, неполноценном питании, вялости от недоедания при алиментарном недостатке железа.";1345;1495;https://downloader.disk.yandex.ru/preview/0ea123669944fc78299961c23a3d969474baaee06f9fd8a9806c5d53d574aaa4/63869772/cHpDc55LN5nWaWepyE9EWY3rjQ-zXoZOZvRTq_aOwqoIDqxA5eNXxJj5ISshcJ6DdbCT2aZMF2TwveS0A8Pedg%3D%3D?uid=0&filename=5.1.png&disposition=inline&hash=&limit=0&content_type=image%2Fpng&owner_uid=0&tknv=v2&size=1838x937;;;Здоровье;himalaya;;
KESH KANTI AMLA Hair Oil, Patanjali (КЕШ КАНТИ АМЛА масло для волос, Патанджали), 100 мл;"ОСНОВНЫЕ ОСОБЕННОСТИ:

Аюрведическое лечебное масло для роста, питания и укрепления волос.
Снимает усталость и головную боль.
Подходит для всех типов волос.

О ПРОДУКТЕ:

Укрепляющее масло для волос Кеш Канти - питает и укрепляет волосы, насыщает волосы целебными элементами и минералами, устраняет сухость и ломкость, предотвращает выпадение волос. Очень эффективно способствует росту волос, которые при прекращении использования масла в дальнейшем уже не выпадают. Укрепляющее масло является натуральным лечебным и профилактическим средством против перхоти, преждевременной седины, сечёных волос, ослабленных корней, а также помогает при головных болях, бессоннице, в периоды повышенного стресса. Подходит для всех типов волос.

Масло Кеш Канти – настоящий кладезь витаминов для питания волос и кожи головы! Основное его действие направлено на интенсивное питание фолликул, что предотвращает выпадение волос. Подходит для применения как в лечебных, так и в профилактических целях. При регулярном применении это масло способно превратить ослабленные волосы в такие же здоровые и красивые как у восточных красавиц.

Амла, брингарадж и алоэ укрепят корни волос, а кокосовое масло восстановит волосы по всей длине, при негативном воздействии внешней среды, после окрашивания или в результате неправильного ухода. Амла, харитаки,бибхитаки и харитаки благодаря своему антиоксидантному воздействию прекрасно справятся с ранней сединой и перхотью, а гудучи и ним выведут токсины из кожи и активируют кровообращение.

Уникальный состав средства включает в себя идеальное сочетание природных компонентов, которые при наружном применении показывают хорошие результаты по омоложению и очищению кожи головы от токсинов, эффективны в лечении перхоти и других грибковых заболеваний, способствуют нейтрализации зуда и раздражения на коже головы, а также стимулируют обменные процессы в её структуре.

Именно от здоровья кожи головы в большей мере зависит красота волос. Поэтому в результате такого благотворного воздействия лечебного растительного состава на кожу головы улучшается и структура волос, ускоряется их рост, прекращается появление новых седых волосков. При этом воздействия масла имеет комплексный оздоравливающий эффект, и длина волос, также как и кожа головы получает необходимое питание, в результате чего снижается излишняя сухость, гораздо менее заметно сечение и ломкость волос на кончиках.

Благодаря регулярному использованию масла Кеш Канти Ваши волосы приобретут естественный объем и блеск, станут мягкими и шелковистыми.";189;264;https://india-bazar.ru/images/stories/virtuemart/product/kesh-kanti-amla-hair-oil-patanjali-kesh-kanti-amla-maslo-dlya-volos-patandzhali-100-ml.jpg;;;Здоровье;maharishi;;
"ЯЗЫКОЧИСТКА МЕДНАЯ (MARUTI SUPER FINISHED TONGUE CLEANER)
";"Языкочистка – медный скребок для удаления налёта с языка. С ее помощью вы можете проделывать очень простую и эффективную процедуру для улучшения своего здоровья.

Современные стоматологи утверждают, что большинство бактерий скапливаются на поверхности языка, но ещё древним йогам было известно, что ежедневное очищение языка способствует оздоровлению всего организма, так как за ночь на языке скапливается Ама (слизь, токсины и шлаки) и если их не убирать, они вновь попадают в организм, создают среду благоприятную для размножения микробов, что в свою очередь, ведёт к неприятному запаху и болезням полости рта, ангинам и головным болям.

Чистить язык следует по утрам и вечерам, надавливая и проводя языкочисткой от основания к кончику, несколько раз, пока налет не исчезнет. Проделав эту процедуру, вы удивитесь и вам непременно захочется повторить её снова. Люди регулярно пользующиеся языкочисткой отмечают свежесть во рту, а так же тот факт, что вкус пищи становится ярче и насыщеннее.";120;;https://amruta.ru/wp-content/uploads/2021/03/d18fd0b7d18bd0bad0bed187d0b8d181d182d0bad0b0-d0bcd0b5d0b4d0bdd0b0d18f-maruti-super-finished-tongue-cleaner.jpg;;;Гигиена;bastofindia;;
"Inhaler Vicks (Ингалятор-карандаш в нос Викс) 0,5мл
";"Inhaler Vicks (Ингалятор-карандаш в нос Викс) 0,5мл Экономичный, компактный и эффективный, Vicks Inhaler дает быстрое и временное «мобильное» облегчение от заложенности носа из-за простуды, сенной лихорадки или аллергии на верхние дыхательные пути с 1951 года. Этот маленький ингалятор успокаивает заложенность носа и легко помещается даже в детские карманы. Многим известно некомфортное чувство заложенности носа и начальных симптомов простудных болезней.
";154;190;https://avatars.mds.yandex.net/get-marketpic/1663482/market_83d_6UnCdpX6GHcYQYKGYg/orig;;;Здоровье;dabur;;
